--target target
--mode classify
--classifiers knn lgbm rf lr sgd mlp svm dummy
--regressors knn lgbm rf elastic sgd mlp svm dummy
--feat-select filter embed wrap
--embed-select lgbm linear
--wrapper-select step-up
--wrapper-model linear
--norm robust
--nan drop median
--filter-method assoc pred
--filter-assoc-cont-classify mut_info
--filter-assoc-cat-classify mut_info
--filter-assoc-cont-regress mut_info
--filter-assoc-cat-regress mut_info
--filter-pred-regress mae
--filter-pred-classify acc
--htune-trials 50
--htune-cls-metric acc
--htune-reg-metric mae
--test-val-size 0.4
--outdir ./df_analyze_results

f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,target
-0.6362270726152338,1.1434215894248783,0.46542657516503355,-0.5200251482237792,0.4486128992923432,-1.5460798192517857,-0.11061950046432667,-0.05904539260928343,-0.1963961345295025,-0.7237590959150415,0.09854980796571472,0.6639481187529479,-1.1463687241417084,-0.11648513408513421,1.6285876797575447,-0.3746184859678025,-0.6467813636007945,-0.050375658422371135,1.5700973082579526,1.2621072091664123,1.150038759642072,-0.7542392659888483,-1.479265933118359,-1.8019452063252324,0.8326917146318052,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.3948584339965524,-0.17031156047080195,-0.6062831515415508,0.6501094458273337,-0.46360802783420896,1.2931753901905687,0.420554396418514,0.8809379304902234,1.8546496176276133,-2.144650288519386,1.5681282417751776,-2.0259609574656,0.6575788478601239,0.9354160606346948,0.5423811737632328,-1.2203954010911056,-0.15549136185311677,-0.03161719623585842,-0.4220570442048258,-0.7422050300950814,1.284950891956007,1.1615148539770865,2.1354373180691644,-1.094505359907633,-0.8253978492378586,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7959314859337727,-0.1982683362456254,-1.151487153340384,0.9848208579063994,0.6265053697126871,0.6168211431175517,1.321399737873786,-0.2370188864517575,-1.1754607388001403,0.4881607853187913,1.562588228800882,0.161010940570794,1.5205052224045261,0.15386834206940603,0.8030945322542156,-0.27856427103742937,-0.2586409532241202,0.8593581187450309,-1.2611293468772744,0.6779759683131521,-1.0245437636126142,0.3553420611289518,-0.46934912931083567,-0.6369155993282167,-1.5510496118336627,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.6985055995094129,-1.3184910805956023,-1.6364757431140688,-0.753532605986246,-0.4988931004963786,1.5737731698967181,-0.11321943840482121,-1.0420427069731137,-0.09887891378903516,0.6290644060949993,-1.4579974173204768,1.13958128966978,-1.1403199737362026,0.8122673369300414,2.108154392935265,-0.5180067336283938,-1.3143816148561047,0.5358497681198235,0.16735430134324078,1.355110467139994,1.6133052675299517,-0.03585498588711815,0.3291036726560552,-0.3014840713818237,-0.999082574920063,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.5661409558414701,1.6046965819567167,-0.30810375518354627,1.1082584505544824,-0.2378297578420482,-0.007767412024588296,1.292686748679524,-1.4768112205449144,-0.4502101766191073,-0.8851604145307841,0.47956899297932964,1.6969730893341006,-0.5671412091625749,-0.4890361250221029,0.46990121699357873,1.4002235749564018,0.3433729474092573,-1.7825348895137063,-0.6770023030982792,-1.090139998708641,0.178728843061255,0.7038331458211569,-1.3432030012972662,-0.4405168359706027,-0.8286713896891571,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.16714034824687707,0.8284101166483798,-0.11168023171822211,0.2403468234561079,0.739934249622742,1.0365489853352008,-1.179324051135208,-2.276051599144496,0.49712532550337607,1.7157865868745816,1.2217644831500807,1.2511364899616644,-1.7975677207637202,-1.0897437227857807,1.3154120155377629,1.1150717524077562,0.8113099510191999,-0.8455957938933423,1.3998874836846016,-1.4306603582526654,-0.1974630469326313,-0.8087502534827269,-0.43036096179026284,1.4534291599659432,-0.8149050039148192,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.2628481131343368,1.8733806140491482,0.9539745651602758,1.847837506616412,-1.8971849600385533,1.058668215029961,1.312529951271927,0.9460237283137374,-0.9029428581192754,-2.1482143293371996,0.8610509812704177,-0.6959390565413303,-0.807150703487548,0.016412156994498012,0.5734300525684949,-0.4269610566953407,-0.8940839686061912,-0.6855307771064473,-0.3452424589455862,-0.14937809141101915,1.2856573655840076,0.07089693319965051,-0.6240972543698425,-0.6888503666649473,-0.03921403761560177,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.398611795698648,-1.0083343264831246,1.6802882750509534,-2.1027009050904155,-0.9275571656441659,-0.2344861034193902,1.2114045935555318,-0.9100580088205924,-0.4953160740713722,-0.759844284443827,0.411040255398466,1.0319974744345959,0.5503046166049713,0.4671923992375451,0.08328920950337784,-1.7650256553200707,-0.3222951942078565,-1.935405628568296,0.5394103285876171,1.088468629708787,0.5604490992644857,-1.1718663180886026,-0.0544129078456376,0.20801148208653297,-1.2601126787472763,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.959177176844489,1.0545967525870032,0.47817202757255856,-1.4219321129883338,-0.6536028813956182,-0.6864314507637053,0.7139057144641482,1.370135483380043,0.05278187189769047,0.7504063519565335,-0.4253374447494601,-1.6558561231888884,1.7365246253516786,-0.8377330468151147,0.12343583835309759,1.0207557471757078,0.15087008492600865,0.14978422319913648,-0.37670954029969256,1.163205305508128,1.381284744401103,-1.3920950313694178,0.09768573082768835,-1.5934269911664014,0.18126522118172483,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.109377067286523,-0.7686158821615963,1.9975045824261066,-0.37175805986861093,-0.8101879142493076,-0.03985172106219041,0.24601448386962552,-0.3667636223775925,2.755354285693637,-1.328003518956305,-0.39504904819330505,-0.4804035240536062,0.2472376227794663,0.7171619458108603,-1.0382082706224744,0.4672572920624092,1.3293840670743513,-0.6462756308614132,0.6881122548921763,0.3456688951809991,-1.3458711013440785,-0.30015205508696735,0.018394720727624946,0.9323082117422198,0.5034273214100426,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-2.2263131179119027,-1.343543760775605,-0.37969911132446127,0.2129208185560924,-1.1018160188849975,-0.21372690180339232,-0.49867383523805364,-0.5037738172838797,-1.0744242585298194,0.7428768279801629,-1.5056597894002286,-2.106220277871507,0.8824440890121413,-0.01377127410557299,0.07693896606598044,0.493717796613555,1.040433897360512,-0.06500241080820475,-1.7016586969212886,0.02613035002351278,-0.5350441996479802,0.482192965665447,-0.3343835528246298,-1.0664615330792133,-1.4053447530816126,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.11881999424278575,-0.04121896973470757,-0.8789686132160459,-0.08551472908118672,-0.43949020783634724,-0.5739779220275969,-1.7940659469089082,1.6985244181249757,-0.4995875440976229,-1.3140230240481399,-0.22299050957189853,0.4457691675439529,0.4248929334114104,-0.43609667681354813,-0.19137630831880667,-0.6720071393139397,-0.4884471737860285,0.8573756769959803,-0.1551300388509568,-0.38676103334656703,0.6366308580300577,0.5487584083164132,0.5790206381771819,1.5746642219201143,-0.30602339901275816,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.49729023125691724,-0.40503805287397787,0.7350662129473082,-0.40633795174707577,0.8362683004333156,-0.9172788113140732,-0.4130308659851232,0.44340687328090106,-1.2988445931054133,1.1426584856595965,-1.0511547024823904,1.3156866663782674,-1.0649527345659282,0.1482409832502588,1.5924734874907254,-0.6224319413696635,-0.05218226590463883,0.24118613375962086,-1.3466281786789123,-1.2624274559865556,-1.8674510407537996,0.553415895611782,1.06122736461387,1.74334499284351,0.2652781360229358,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.6976905739952615,-0.2127610823429075,-0.4258705983297805,-2.6344352982869492,-0.21461825083253122,-0.04876540667597555,2.4007766857054,1.0205628627371552,0.09042601880701716,0.5318898301419008,-0.19188181222310424,-0.5844660702817793,0.6211376721299813,0.29155628533427,0.5158503843920891,0.10558051970064648,-1.6007679361554028,-1.0633518582203785,1.1576375310064073,-0.06604654013868674,-0.8430080290011416,0.6847215130500376,1.3195892023930238,1.6308846830323955,-1.3058164281489042,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7771807984737775,-1.0654558313746711,-2.4169761864261288,0.11065714677411714,-0.36842179086198573,-1.2303280183090144,1.0358700019021114,-0.3340949724044289,-0.925715334261912,-0.7370247106258554,-0.6639654036338739,-1.0185774512552992,-0.1624861488329153,-1.811247989955275,-0.03794110516866269,1.6773885429938078,-0.7858595553098326,0.7027518082557722,0.340473714563818,0.8133444849158858,-1.1004437671610579,-1.334646883956673,1.4444186396667764,-0.587671283676543,0.14604066464786777,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.7545585896267023,0.5881430579564118,-0.5357417173554482,-0.14856223531656404,-0.11739362335115426,0.3019016222931844,-0.48761736959930513,0.7082440008092735,0.8022193237224711,-0.4689201414330585,-0.323439644967404,0.49388060411100826,0.36449768231768853,-1.1784668980211412,-0.40800421053784314,-0.06659824764235507,-2.234377327204065,1.1359800811867071,-0.15284959820665023,0.15768798116085825,-0.7318103997379861,0.24527680621899325,0.9612523608229633,0.5318541991400604,0.021110780356657036,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.9425734064930322,-0.5129947263778619,0.3305582232882482,-1.0978287515408167,-1.1841993271001454,-0.4635543305258725,0.27251427137639933,1.8123480538096592,-0.018190430220602793,2.0153422448505958,-0.41529287518056235,-0.38768190325345414,-0.05640803543042891,-1.9080566957953664,1.3970946218295806,-0.0013309058758674214,0.08924882603550106,-1.5886719452529356,-2.0198363461049547,-1.018922695208635,-0.0970968884326085,0.999350123032197,-0.2038360071762802,-1.1730449555072617,-0.2837350564799373,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.3547519058565484,-0.5723929274419662,-0.9387452958002951,-0.9757425684504196,0.492771105352427,1.5407693638774989,2.2985177330870323,1.1940215751435845,0.005622846239980442,-0.7235936344713004,0.19370708346784427,-0.46596463210028666,0.7389038998373145,0.8734329910848168,-0.9759821690791277,-0.09550160143509852,1.370181161704452,0.3502379484403074,-0.5773978315956103,-0.9622032368390283,0.28461646732926316,0.21814988720665998,-0.6716988735022001,1.405678902887932,1.112790536873226,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.4535145094932298,-1.1122093168571585,-0.09120950246176182,0.7212123600398083,0.3356645437190383,-0.6754379131329188,0.5968622535545861,-0.13862002056722983,-0.925597209410738,0.3269750520998879,1.2488215715151354,0.7444030613543767,-2.195414307985863,-0.6109875893194083,-0.5731960982248083,2.395135027032633,0.0661699303832975,-0.08299636551638535,0.2374722405555545,0.7647365610812868,0.08589843015479198,-0.8774411100773497,-0.9818017854076138,-0.9392306991991519,1.1466766282609453,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.4487922822196648,0.2558116763635974,2.014477119750233,0.14421430247105507,-0.5712396028601602,0.08167005068364588,1.204441518632193,0.17759027975363373,1.1285220037676305,-1.3402655331082676,2.0710566670520425,0.12292213053131978,-0.8164209796134129,-0.8103287305743644,-0.6396287034830257,1.2919494120608184,1.508373623728326,1.338023148324937,0.839652092269949,-1.7119063708335804,0.024895780937086737,-0.29297718631414893,-0.757389796048146,1.17984520213278,0.39814728696792423,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.8821087709236641,-0.6263564051924869,0.7930700619327782,0.12268806815842999,1.506229339098902,0.6712273399528029,0.5867711902730717,0.5934885077629376,0.5227447105234485,-0.804513080039101,1.4281204459813688,1.2144243142079967,-2.2706078153882387,1.1296172452425008,-1.0593016528037607,0.9515600702296204,-0.5049563440536741,-0.13096288890915836,-1.0631985889638456,1.711481270234078,0.6335260428749329,-0.3965325866749023,0.8247568534072929,-1.8323019599340282,-1.1284791502573583,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.17454387490869236,0.5029321329910353,-0.7381034725110627,-1.720219619702449,0.8718597936531655,0.621487207302818,-0.5253192901459498,1.2435885022505444,-0.8231648929866989,0.029490221488794953,-0.9454837621144143,0.40956684217831174,-0.8668135151926584,-0.3096979556714089,1.8923124479052835,1.1345330378501866,-1.139312820761599,0.9448765203662495,0.25901486475953917,-0.3812986102277311,0.7380457187266499,1.0183675662712977,1.8025596180932766,1.4377589609913475,-1.78480444407906,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-2.228602729367253,-0.6374813742911206,1.8912227601358549,0.12789460877504383,0.04554388129965538,0.06544330270292091,1.4472538288443813,0.34132552786940945,0.9687590786194094,-1.8174595009337404,1.8636394826977227,1.2128209561158936,-0.2725905562729682,0.5982443177529949,2.589665597283834,0.6475213497761817,-0.11133190292065663,0.5997176318458272,-2.387497828523228,0.7791320275919883,1.4669201508721266,-0.5542066232228398,-0.09436105625092935,-0.2605434967853375,0.42633133124730815,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.2760979898167736,0.30932925803798444,1.417627228413763,0.7592556839348953,0.13757237586406082,0.44681240002905714,0.8997943028388216,0.8525150140652745,-0.6311471952146328,-0.3544488058441,0.7368688656585045,-1.4278617264999958,-0.7463450569141218,-1.7422634561627097,1.4974277020100628,-0.5341267392488196,0.5893570503628475,0.011592268848301444,1.4849501157215548,-0.04633639261548477,-1.7011794455835114,-1.1308503322310888,-2.092374113715255,1.4467230379374243,-0.6595512453610378,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.7497328670329377,0.31168454977332805,0.5493471819378442,0.29816096918931717,-0.9974024471780163,-0.2558147329180832,1.085137965957103,-1.767818202434445,0.5452979636940275,0.22017411611491877,-0.2791740218947633,0.787612936739738,-1.4872575923468643,-0.5062226872650776,0.14879762168296617,-0.6526690133108776,-1.4648226971194165,-1.8484634203741526,-0.9845556344842264,-1.3383586296915777,0.0202920158480082,0.4689638886784553,-0.6730666798936751,-0.8417640614529706,-1.5390882000534256,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.7781908446254286,-1.8372924807791988,-0.35527624389811485,-0.599732253934565,-1.9293437976823096,-0.5268049117175168,-0.5808401512445621,1.1428089201990228,2.205890067378408,0.31827063171901365,-0.7835128363468036,1.9928352284443032,1.3311065031283469,0.7164105292478715,-0.5612201993619182,-3.834707570817303,-0.2014679249374084,-0.3742747298178638,-0.9483784173432782,-0.5063960142475813,-1.2194819019828997,-1.363829945925522,-1.5253891026404616,-0.1417386585138219,0.20413809420926124,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.6470618697811483,-0.6413600291444719,0.031016109166002635,-1.0272099831734929,0.49286677830239406,-1.2844635477425386,0.19470600013914285,-0.2809222330782225,-0.3988443726665083,-1.1990114941238246,-0.005343435554702116,-0.3795070629671469,0.4415143020936488,0.269618545400549,-0.6253736331564822,0.34728091951092355,-1.0083193734115852,0.13498047804577126,0.3048388644612112,-1.9152116830486303,-0.7959910588843879,1.0767617587577787,-1.0847226700851642,0.22356207412492976,0.3901474197993881,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.4894053141554449,-0.6139493691163084,0.47610853939253917,0.1762647478286682,0.6389212526791409,1.0008780133608457,0.8506253157303257,-2.4240531780874597,-0.009775517888104155,1.4702819711175115,-0.14710442836955023,1.2569908774615228,-0.3983027182853135,0.4334800019396083,0.0063255007448243476,1.2243775133131698,-0.062405514396481655,-0.82780974580614,1.173692613721001,1.3857405861014145,-0.10734263865578371,0.427756613824111,0.7905168679408571,0.08817991000604658,-2.6966491646213004,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.07407774393005044,1.4423372549576348,0.7381293981965631,0.24183249698409556,0.7800704295104913,-0.05809000739571396,-1.1448213482173768,0.7069587971400245,-0.3582989572586328,1.6310700877369644,0.567423428437433,-0.9225715303060777,-1.3829570237582767,-0.4116748624849963,-0.4893152746185609,1.6761042248546278,0.4703209559441046,1.1244279219551898,-0.22607338813787983,0.039560181293036095,-0.025892146858440997,0.9515180866625028,-0.08576201031689439,-1.4554673922872718,0.21822262413926394,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7782663129837815,-0.1729327175843155,0.011336422899685653,0.570744918204025,-2.035666350380177,-0.20892721005379353,0.7157565716644761,0.3120784461162874,0.01761186728704396,0.13949539973487537,0.6686264105575455,0.6369310651526627,2.878903331730922,2.094015690500209,1.440526186031634,0.8563179874819923,-0.6553492452304617,-0.05944819312609751,2.168826693893375,0.6608837451515498,-0.2977618392550278,0.9481217102283339,0.16722663910338462,-0.3070374900056672,-0.9907942324691699,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.2085711492163533,0.31135123491257327,-0.031391626329398466,-0.9159588486987512,0.009798087074857359,-0.07498266385677677,-0.9267583439035771,1.4679699493660687,0.4980717506407787,-0.3201580045358577,0.40479468382853223,-0.5288571854610165,-0.18196977786576976,0.47686534936563824,-0.5911036069155924,1.3781293741105531,1.5237297047601561,-1.7428515195930667,1.5148061105689063,-0.01855754926424293,0.5129107221987058,-2.4095070619309764,-0.9489502817581604,0.0920536818041113,-0.2709100967642476,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.5714290350807425,-0.8993406454750992,0.48193462127443704,-1.6138932997933093,-1.2969104551606878,-0.16969233711952178,-0.2347777089631167,0.369851219969588,0.42447901629346046,-0.5319239760766845,0.07692326051572747,0.3704076092413934,-1.9422455577157094,-1.5497994370501362,0.08832339092396284,-1.5179254556338042,0.015505833864869123,0.07138198189006052,0.6040392292868128,0.7251463212592093,0.3847636220122799,-0.6841966264661151,0.1602960077213519,1.154336265393759,-0.03373574407130109,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.0499155660313162,0.5089048390463646,1.6178051798990645,-1.9301364537805294,-0.0706087251611861,-2.3893260561599594,0.9377334992526297,1.332754920414221,1.3291933234284352,-2.3820865772369606,-1.9576591099571166,1.3716284537199783,1.2926955795927226,0.043629989936653825,-0.5686757603976602,-1.8594064760667095,-0.6503096541108803,-0.8179027429055516,-0.8141635439531281,2.109666998835115,-1.9514717868877407,0.3923722668995276,2.4144639161081014,-1.3539308504579108,2.437083169754143,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.5000060513553448,1.9146135840605552,-0.5409694304862339,1.0829104175528013,-0.7901208282446482,-0.06906266156788139,0.5251496113271973,1.2290997329945514,-0.8607849585941506,-0.13269107200476535,-0.025237786153398743,-1.0839103858954708,0.8045804729513966,1.4048658595739167,-0.0007077650257045477,-0.9944642030367741,-1.0677151757311405,0.5498064790203459,-1.3638812886294558,2.321544066533138,0.29111757494598806,-0.39508656501078826,0.4925391520837361,0.3096244464288275,0.11275934199987088,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.5866407933554298,0.04723693439462345,-0.08016519330699902,-0.6749085613014523,-0.5379769365946883,-0.16235602286672382,0.9453044880545227,-0.5972382982362434,-1.8027753990031063,-1.5313489734161554,-0.20819081949971371,-0.2459885319092128,-0.9702368419068224,0.31454848496145227,0.19906140655137786,1.18687613481871,-0.8009569444033048,-0.49231796702579605,0.38547110891335334,-0.593470691058059,-0.40639646109915867,0.6651895815668618,-0.7487249152293919,-0.30615177873174926,0.5833661512074905,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.1181784997488573,-1.277157483544572,-0.8018863812003968,0.19700428302173392,-0.7207493896054663,-0.441354658215791,1.0856759769026196,0.8343009558248992,0.6847339623113858,0.7479381795157477,-0.43118870519910374,-0.3809021337995259,0.6151554044426718,0.1333255007674643,-1.3385231472960237,-0.2229483489725723,1.2583632072162345,0.35406112873296874,-0.7553842438100278,-0.011163719288467665,-1.910080037656852,2.0834932289353603,0.13900129663615216,0.5263927215649172,-1.5199140401899764,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.6014925448092244,-1.1048804622827506,0.29517249266951473,0.4543793453113351,0.6739851438751397,1.6974523442639573,0.2793103801652686,-0.4822119029962122,0.26840109900768694,0.8678872510322958,0.15303564546144915,0.3168701747550289,-1.137329875215057,0.6652605681480958,-2.4421954036517417,1.4303862626217934,-0.3644993242907383,0.2557082807342265,0.5253350990009932,-0.11215194604159827,-0.13999741426480575,0.8151928926065702,1.3844453390944074,0.2384770173735506,-2.0899984090533716,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.40688349726051376,-0.9578235377713221,-1.676931795968666,-0.9220771824265102,-1.9236650984386134,-1.2545876270714913,0.8958784831209219,-0.5638937163472999,0.49233217323184636,-1.222887093654629,1.826761604851653,0.9089449861349091,-0.5856530736580529,-0.5529713344325439,-2.4158639265418445,0.09604573925208904,0.9363746435494156,-1.4605326858323764,-2.4778599172304214,-1.078780089042444,0.12807346697577435,0.6586850228626379,0.2985566814083005,2.318788421347058,1.2657323572702772,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.5221595956155043,-1.2502569410620306,0.004019915112651581,0.08923978990239785,1.2179631340907984,-0.9562256981342006,0.5204624561064367,-0.8624900658754303,1.3411545073338969,1.0498997694797134,0.7669336265238897,-0.5212804108531184,1.1321897194676125,-1.3500676567968217,0.6297070956702902,-0.5543992971789508,0.6748392189194053,0.6279786860022164,0.15494377945782,-0.015658747415597744,1.9712766315500525,0.877773347021715,0.2849214892675049,-0.29319297674634576,-0.5762216034177146,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.91639452243458,-0.14883572561909075,-0.15084048695584287,0.15675395491442665,-1.3884246252629626,1.911820914601483,0.7033522965879351,0.052286915936695,0.8614979813759966,-0.21770896367550738,2.0083253330044344,-1.3999759086526258,-2.288129249640411,0.8881283090257543,0.691523855833661,1.2344813676468045,-1.2178057442003507,-0.4210550812012825,-0.9155413004322183,-1.0428284380179955,-0.1968678536771806,-1.3444880668982837,0.4216468707783942,0.7165343017548121,-1.8540468930921434,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
